side,entry_time,entry_price,exit_time,exit_price,pnl,pct
sell,2025-11-05 07:38:00+07:00,3932.807,2025-11-05 07:47:00+07:00,3937.2349999999997,-4.427999999999884,-0.001125913374340486
buy,2025-11-05 08:06:00+07:00,3941.761,2025-11-05 08:41:00+07:00,3949.2608499999997,7.499849999999697,0.001902664824173687
sell,2025-11-05 08:53:00+07:00,3939.2200000000003,2025-11-05 09:08:00+07:00,3944.3279,-5.107899999999972,-0.001296678022552681
buy,2025-11-05 09:36:00+07:00,3943.342,2025-11-05 09:37:00+07:00,3948.06595,4.723950000000059,0.0011979559470114585
sell,2025-11-05 12:48:00+07:00,3965.822,2025-11-05 13:24:00+07:00,3969.6805,-3.8584999999998217,-0.0009729382710570019
buy,2025-11-05 13:26:00+07:00,3969.208,2025-11-05 14:00:00+07:00,3965.2477000000003,-3.9602999999997337,-0.0009977557235598975
sell,2025-11-05 14:04:00+07:00,3965.527,2025-11-05 14:17:00+07:00,3968.9723,-3.445299999999861,-0.0008688126445740657
buy,2025-11-05 14:41:00+07:00,3969.248,2025-11-05 14:57:00+07:00,3973.6358,4.38779999999997,0.0011054486895250612
sell,2025-11-05 15:55:00+07:00,3981.8540000000003,2025-11-05 15:56:00+07:00,3982.214,-0.3599999999996726,-9.041014562554844e-05
sell,2025-11-05 15:57:00+07:00,3983.0969999999998,2025-11-05 15:58:00+07:00,3983.407,-0.3100000000004002,-7.782888541263248e-05
sell,2025-11-05 15:59:00+07:00,3980.923,2025-11-05 16:11:00+07:00,3976.70545,4.2175499999998465,0.0010594402353423682
buy,2025-11-05 16:59:00+07:00,3971.4049999999997,2025-11-05 17:02:00+07:00,3968.9056,-2.499399999999696,-0.0006293490590860655
sell,2025-11-05 17:07:00+07:00,3959.361,2025-11-05 17:09:00+07:00,3963.4640999999997,-4.103099999999813,-0.0010363035853512253
buy,2025-11-05 17:46:00+07:00,3966.839,2025-11-05 17:53:00+07:00,3964.2933,-2.5457000000001244,-0.0006417452283796051
sell,2025-11-05 18:06:00+07:00,3966.724,2025-11-05 18:12:00+07:00,3961.0150000000003,5.708999999999833,0.0014392228952656732
buy,2025-11-05 18:51:00+07:00,3967.06,2025-11-05 19:02:00+07:00,3964.1891,-2.8708999999998923,-0.0007236845422050316
sell,2025-11-05 19:45:00+07:00,3964.562,2025-11-05 19:55:00+07:00,3967.095,-2.5329999999999018,-0.0006389104269273382
buy,2025-11-05 20:04:00+07:00,3968.991,2025-11-05 20:09:00+07:00,3973.2829500000003,4.29195000000027,0.0010813705548841682
buy,2025-11-05 22:33:00+07:00,3982.87,2025-11-05 23:13:00+07:00,3979.621,-3.2489999999997963,-0.0008157434212012434
buy,2025-11-05 23:38:00+07:00,3980.6,2025-11-05 23:46:00+07:00,3986.13935,5.539350000000013,0.0013915866954730476
sell,2025-11-06 00:22:00+07:00,3979.393,2025-11-06 00:28:00+07:00,3983.2144,-3.8213999999998123,-0.0009602972111575339
